condition,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,noise_growth,26,Moment OU,30.0,0.19148657077263986,0.004430704462652535,True
baseline,noise_growth,26,Moment OU,38.0,1.0436334862316015,-0.014005202762773616,True
baseline,noise_growth,26,Moment OU,46.0,0.7268571083187558,0.028421248267267774,True
baseline,noise_growth,26,Moment OU,54.0,0.40385806276340297,0.10335826914350826,True
baseline,noise_growth,26,Moment OU,62.0,0.8492570364907945,0.08273446139878032,True
baseline,noise_growth,26,Moment OU,70.0,0.7181701402165346,0.20854143068269426,True
baseline,noise_growth,26,Moment OU,78.0,0.5746389827034857,0.3297429415696337,True
baseline,noise_growth,26,Neural SDE (Euler),30.0,-0.2924004793167114,0.001143281023379794,True
baseline,noise_growth,26,Neural SDE (Euler),38.0,0.8468167781829834,0.0019898112435061677,True
baseline,noise_growth,26,Neural SDE (Euler),46.0,0.8821682929992676,0.037719619847658425,True
baseline,noise_growth,26,Neural SDE (Euler),54.0,0.8100053071975708,0.08857246558040316,True
baseline,noise_growth,26,Neural SDE (Euler),62.0,0.938667356967926,0.13362408284595506,True
baseline,noise_growth,26,Neural SDE (Euler),70.0,0.6636767387390137,0.17998919777964562,True
baseline,noise_growth,26,Neural SDE (Euler),78.0,-0.15431272983551025,0.22748872484826743,True
baseline,noise_growth,26,SINDy-STLSQ,30.0,-0.23127963777419192,0.00496248659511947,True
baseline,noise_growth,26,SINDy-STLSQ,38.0,0.9121554543477701,0.0029984042094316488,True
baseline,noise_growth,26,SINDy-STLSQ,46.0,0.14131308753575822,0.03760378711921025,True
baseline,noise_growth,26,SINDy-STLSQ,54.0,-0.02869526158195268,0.06616857746256555,True
baseline,noise_growth,26,SINDy-STLSQ,62.0,-0.06328434033904506,0.08396231548247407,True
baseline,noise_growth,26,SINDy-STLSQ,70.0,0.14620052257113447,0.1883785723221581,True
baseline,noise_growth,26,SINDy-STLSQ,78.0,0.173776123431582,0.2960237576954641,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),30.0,0.5724157561541615,0.017616619536114847,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),38.0,0.07957393453933326,-0.004129626730633912,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),46.0,-0.6878686811235756,-0.012374408673039544,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),54.0,0.5106512017889981,0.07387602423478276,True
