condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,27,Kalman OU,78.0,-0.3009074541822798,0.05013459698117828,True
baseline,bistable,noise_growth,27,Latent Neural SDE (VI),38.0,0.17075061798095703,0.006801867707113163,True
baseline,bistable,noise_growth,27,Latent Neural SDE (VI),54.0,-0.9518265724182129,-0.005277707919076127,True
baseline,bistable,noise_growth,27,Latent Neural SDE (VI),70.0,0.23480486869812012,0.028904846827790015,True
baseline,bistable,noise_growth,27,Latent Neural SDE (VI),78.0,0.6365199089050293,0.03195532887281691,True
baseline,bistable,noise_growth,27,Moment OU,38.0,,,False
baseline,bistable,noise_growth,27,Moment OU,54.0,-2.4043225851989116,0.03887525945168929,True
baseline,bistable,noise_growth,27,Moment OU,70.0,-1.8925217859997758,0.0756567482025151,True
baseline,bistable,noise_growth,27,Moment OU,78.0,-1.9998547891163239,0.0810559151473592,True
baseline,bistable,noise_growth,27,Neural SDE (Euler),38.0,0.12188911437988281,0.006858033328401444,True
baseline,bistable,noise_growth,27,Neural SDE (Euler),54.0,-1.342440128326416,-0.0154432295502802,True
baseline,bistable,noise_growth,27,Neural SDE (Euler),70.0,0.13184285163879395,0.029682023443711056,True
baseline,bistable,noise_growth,27,Neural SDE (Euler),78.0,0.7221393585205078,0.032514499018766185,True
baseline,bistable,noise_growth,27,SINDy-STLSQ,38.0,-0.30301648274866233,-0.0013789373477067768,True
baseline,bistable,noise_growth,27,SINDy-STLSQ,54.0,-0.40876135196385066,0.0047731750716256405,True
baseline,bistable,noise_growth,27,SINDy-STLSQ,70.0,0.862435604741925,0.02897980498600508,True
baseline,bistable,noise_growth,27,SINDy-STLSQ,78.0,1.1601133394274368,0.02946335803533992,True
baseline,bistable,noise_growth,28,Bayesian SINDy (spike-slab),38.0,-1.0040981152686004,0.014050952796291413,True
baseline,bistable,noise_growth,28,Bayesian SINDy (spike-slab),54.0,1.0144802784910951,0.009025671115931208,True
baseline,bistable,noise_growth,28,Bayesian SINDy (spike-slab),70.0,0.129251024882989,0.01504003734636672,True
baseline,bistable,noise_growth,28,Bayesian SINDy (spike-slab),78.0,0.5785920251501662,0.014053582000574813,True
